time,flux,flux_err
260.21545711517683,0.99961776,0.00040510445
260.216138291893,0.99889493,0.00040502404
260.21681936884124,0.99969673,0.00040519104
260.21750044555665,0.9998437,0.00040523525
260.2181814222786,0.9993732,0.00040519828
260.2188625992276,0.9990421,0.00040516697
260.219543675943,0.99980664,0.00040531755
260.2202247528912,0.9993744,0.00040526481
260.2209059296074,0.9996576,0.00040533693
260.2215870063228,0.9994649,0.0004053299
260.2222680832783,0.9995183,0.000405354
260.2229492599945,0.9999974,0.00040544392
260.223630236942,0.9999041,0.00040543784
260.2243113136574,1.0001817,0.00040550163
260.22499249037355,1.0003748,0.0004055475
260.22567356732907,0.99961483,0.00040542582
260.2263546440445,1.0000124,0.0004055048
260.22703582076065,1.0002643,0.0004055462
260.2277168977089,0.9995974,0.0004054496
260.2283979744243,0.9997041,0.00040548082
260.2290790513798,1.0002329,0.00040555245
260.2297601280952,0.99970996,0.00040547285
260.23044120481063,0.99992007,0.00040552474
260.23112228175887,0.9996754,0.00040549345
260.23180345847504,0.9998413,0.00040551423
260.23248453543056,0.9992697,0.00040542832
260.23316561214597,1.0006332,0.0004056172
260.23384678886214,0.99973845,0.0004054897
260.2345277658096,1.0001601,0.00040555463
260.235208842525,0.9997042,0.0004054951
260.2358900192412,0.9997433,0.00040550294
260.2365710961967,1.0004703,0.00040560102
260.2372521729121,1.0000985,0.00040554645
260.2379333498611,1.0004747,0.00040560783
260.23861442657653,0.9994246,0.00040542832
260.23929550329194,0.9999476,0.0004055135
260.2399764802467,0.9999023,0.00040550862
260.24065765696287,0.99997795,0.00040550486
260.2413387336783,0.99970543,0.0004054539
260.2420199106273,0.99943286,0.0004054085
260.2427009873427,1.0000839,0.0004055099
260.2433820642982,1.0000392,0.00040549433
260.2440632410144,0.99917877,0.00040534322
260.2447443177298,0.99937266,0.00040537867
260.24542529467726,0.9999107,0.0004054619
260.24610647139343,0.9995918,0.00040539788
260.2467875481161,1.0002049,0.00040548318
260.24746862506436,0.9998611,0.0004054284
260.2481498017805,0.9989434,0.0004052883
260.24883087849594,0.9996692,0.0004053843
260.2495119554442,0.9998389,0.00040539357
260.25019313216035,0.99971914,0.0004053776
260.2508741088823,0.9993856,0.000405305
260.2515551858305,0.99977636,0.00040536464
260.2522363625467,0.9997222,0.00040534264
260.2529174394949,0.99869907,0.0004051758
260.25359851621033,1.0000371,0.0004053943
260.2542796929338,0.99998415,0.00040537116
260.254960769882,0.99949294,0.000405288
260.2556418465974,1.0001439,0.00040540626
260.25632292331284,1.0002828,0.00040541487
260.2570040002611,0.99955916,0.00040529072
260.25768507698376,1.0003647,0.0004054249
260.25836615369917,0.999789,0.00040530993
260.2590473306482,0.9996569,0.00040528446
260.2597284073636,0.9996504,0.00040529342
260.260409484079,1.0002584,0.00040537503
260.261090661028,0.99909675,0.0004051839
260.2617716377499,0.99958783,0.00040527346
260.2624527144653,0.99973583,0.00040529814
260.2631338914143,0.99940705,0.00040523737
260.26381496812974,0.99955463,0.0004052672
260.26449604484515,1.0000468,0.00040533076
260.26517712180066,0.99930954,0.0004052339
260.26585829851683,1.000349,0.00040539514
260.26653937523224,0.9994623,0.0004052761
260.2672203521797,0.9998061,0.00040532736
260.2679015288959,0.9992414,0.00040524497
260.2685826056186,1.0002669,0.00040541703
260.2692636825668,0.9997327,0.0004053561
260.269944859283,0.99918216,0.00040526586
260.2706259359984,0.9999304,0.00040540384
260.2713071129474,0.99928886,0.0004053084
260.2719881896628,0.99998015,0.00040543557
260.2726692663855,0.9994337,0.0004053642
260.27335024333297,1.000065,0.0004054815
260.27403142004914,1.0000409,0.0004054833
260.27471249676455,1.0001428,0.00040553205
260.27539367371355,1.0003691,0.00040557742
260.27607475043624,1.0002842,0.00040558042
260.27675582715165,0.99902344,0.00040542343
260.27743700410065,0.9992335,0.00040545512
260.27811808081606,0.99957323,0.00040554124
260.2787990575307,0.9995932,0.0004055823
260.279480234487,0.9993581,0.00040555597
260.2801613112024,0.9990918,0.00040552873
260.2808423879178,0.99933213,0.00040561226
260.2815235648668,0.9995946,0.00040568563
260.2822046415822,0.99985516,0.0004057321
260.2828857182976,0.99946594,0.000405735
260.28356689502107,1.0001929,0.0004058768
260.28424787196855,1.0002754,0.00040590507
260.28492894868396,1.0001557,0.00040593935
260.28561002539936,0.99929917,0.0004058445
260.28629120234837,0.99890524,0.00040580175
260.28697227907105,0.9994487,0.0004059424
260.28765335578646,1.0003924,0.00040614084
260.28833453273546,0.999241,0.00040600257
260.28901560945087,1.0005105,0.0004062412
260.2896965861655,1.000179,0.0004062167
260.29037776288897,0.9993728,0.00040614273
260.2910588398372,0.9994458,0.0004061981
260.2917399165526,0.9999392,0.0004063367
260.292420993268,0.99919665,0.00040627492
260.293102170217,0.9993752,0.00040635426
260.2937832469397,0.99993604,0.00040650152
260.2944643236551,0.9999577,0.0004065548
260.29514540060336,0.99945706,0.00040651122
260.29582647731877,0.99918574,0.0004065258
260.2965075540342,0.99959326,0.0004066445
260.29718873075035,0.9989963,0.00040659172
260.29786980770587,1.0003556,0.0004068382
260.2985508844213,0.99943215,0.00040675825
260.29923206113745,0.99989235,0.00040686084
260.2999131380857,0.999702,0.000406872
260.3005941148076,0.99997437,0.00040695092
260.301275191523,0.9994457,0.0004068969
260.3019563682392,1.0000709,0.000407022
260.30263744518743,0.9991898,0.00040690263
260.3033186219036,0.9993372,0.00040694824
260.303999698619,1.0001242,0.0004070877
260.304680875568,0.9992741,0.00040695275
260.3053619522907,1.0000658,0.0004070809
260.30604292900534,0.9990076,0.00040690386
